rank,name,team_id
345,Tim Hardaway,20
346,Boban Marjanovic,9
347,Jason Terry,17
348,TJ Leaf,12
349,Nene Hilário,11
350,Frank Ntilikina,20
351,Devin Harris,7
352,Arron Afflalo,22
353,Nicolas Brussino,1
354,Nik Stauskas,23
355,Antonio Blakeney,5
356,Trey Lyles,8
357,Derrick White,27
358,Derrick Jones,24
359,Troy Williams,11
360,Tyler Dorsey,1
361,Tyler Ennis,14
362,Ante Zizic,6
363,Jason Smith,30
364,Abdel Nader,2
365,Omri Casspi,10
366,Otto Porter,30
367,Dennis Smith,7
368,Jose Calderon,6
369,DeAndre Bembry,1
370,Wes Iwundu,22
371,Luol Deng,14
372,Malachi Richardson,26
373,Alfonzo McKinnie,28
374,Alex Poythress,12
375,Alex Caruso,14
376,Willy Hernangomez,20
377,Frank Mason,26
378,JaMychal Green,15
379,Zach Collins,25
380,DeAaron Fox,26
381,Alec Peters,24
382,Zhou Qi,11
